,,R,METODO,Y
1,101,1,M3,6.31
2,102,1,M4,17.15
3,103,1,M2,0.91
4,104,2,M2,2.94
5,105,1,M1,0.34
6,106,2,M1,0.12
7,107,2,M4,11.82
8,108,3,M2,2.14
9,109,3,M1,1.23
10,110,4,M2,2.36
11,111,2,M3,8.37
12,112,3,M3,9.75
13,113,3,M4,10.95
14,114,5,M2,4.55
15,115,4,M1,0.7
16,116,4,M3,6.09
17,117,4,M4,17.2
18,118,5,M3,9.82
19,119,5,M1,1.75
20,120,5,M4,14.35
21,121,6,M2,4.55
22,122,6,M4,16.82
23,123,6,M3,7.24
24,124,6,M1,0.12
