,,R,METODO,Y
1,101,1,M4,17.15
2,102,1,M1,0.34
3,103,1,M3,6.31
4,104,1,M2,0.91
5,105,2,M4,11.82
6,106,2,M2,2.94
7,107,3,M2,2.14
8,108,2,M3,8.37
9,109,3,M3,9.75
10,110,2,M1,0.12
11,111,3,M4,10.95
12,112,4,M4,17.2
13,113,4,M3,9.75
14,114,4,M2,2.36
15,115,5,M3,9.82
16,116,5,M4,14.35
17,117,6,M3,7.24
18,118,5,M2,2.86
19,119,3,M1,1.23
20,120,4,M1,0.7
21,121,6,M4,16.82
22,122,6,M2,4.55
23,123,5,M1,1.75
24,124,6,M1,0.12
